source_text,target_text
customer,Müştəri
item,Məhsul
quantity,Miqdar
price,Qiymət
total,Cəm
discount,Endirim
tax,Vergi
payment,Ödəniş
change,Qalıq
submit,Göndər
cancel,İmtina
save,Saxla
edit,Dəyiş
delete,Sil
add,Əlavə et
remove,Çıxar
search,Axtar
filter,Filtr
refresh,Yenilə
loading,Yüklənir...
error,Xəta
success,Uğurlu
warning,Xəbərdarlıq
info,Məlumat
confirm,Təsdiqlə
close,Bağla
back,Geri
next,Növbəti
previous,Əvvəlki
print,Çap et
download,Yüklə
upload,Yüklə
export,İxrac
import, idxal
settings,Ayarlar
profile,Profil
logout,Çıxış
login,Daxil ol
username,İstifadəçi adı
password,Şifrə
email,E-poçt
phone,Telefon
address,Ünvan
date,Tarix
time,Vaxt
status,Status
active,Aktiv
inactive,Deaktiv
pending,Gözləyir
processing,Emal edilir
completed,Tamamlandı
cancelled,Ləğv edildi
delivered,Çatdırıldı
ready,Hazırdır
preparing,Hazırlanır
served,Servis edildi
paid,Ödənildi
unpaid,Ödənilməyib
partial,Qismən
full,Tam
cash,Nağd
card,Kart
credit,Kredit
wallet,Pulqabı
coupon,Kupon
discount_amount,Endirim məbləği
tax_amount,Vergi məbləği
grand_total,Yekun cəm
net_total,Xalis cəm
paid_amount,Ödənilən məbləğ
remaining_amount,Qalıq məbləğ
change_amount,Qalıq (pulu)
subtotal,Aralıq cəm
items_count,Məhsul sayı
item_name,Məhsul adı
item_code,Məhsul kodu
barcode,Barkod
category,Kateqoriya
warehouse,Anbar
stock,Qalıq
available,Mövcud
out_of_stock,Stokda yoxdur
low_stock,Az qalıb
uom,Vahid
rate,Qiymət
amount,Məbləğ
description,Təsvir
note,Qeyd
reference,Referans
invoice,Faktura
invoice_no,Faktura nömrəsi
invoice_date,Faktura tarixi
due_date,Bitmə tarixi
customer_name,Müştəri adı
customer_group,Müştəri qrupu
POS,POS
POS Profile,POS Profili
shift,Növbə
open_shift,Növbə aç
close_shift,Növbə bağla
shift_opened,Növbə açıldı
shift_closed,Növbə bağlandı
no_shift,Açıq Növbə yoxdur
current_shift,Cari Növbə
shift_start,Növbə başlanğıc
shift_end,Növbə sonu
cashier,Kassir
register,Kassa
order,Sifariş
order_no,Sifariş nömrəsi
table,Masa
table_name,Masa adı
area,Sahə
restaurant,Restoran
kitchen,Mətbəx
kds,Mətbəx ekranı
send_to_kitchen,Mətbəxə göndər
prepare,Hazırla
serve,Servis et
modify,Dəyişdir
additional,Əlavə
new,Yeni
existing,Mövcud
draft,Qaralama
submitting,Göndərilir...
processing_payment,Ödəniş emal edilir...
printing,Çap edilir...
print_receipt,Çek çap et
email_receipt,Çek göndər
sms_receipt,SMS göndər
receipt,Çek
thank_you,Təşəkkür edirik
visit_again,Yenidən görüşənədək
powered_by,İstifadə edilir
brainwise_tech,BrainWise Technologies
settings_saved,Ayarlar saxlandı
settings_error,Ayarlar saxlanarkən xəta
sync,Sinxronizasiya
syncing,Sinxronizasiya edilir...
synced,Sinxronizasiya tamamlandı
offline,Oflayn
online,Onlayn
cache,Keş
clear_cache,Keşi təmizlə
cache_cleared,Keş təmizləndi
language,Dil
english,İngilis
azerbaijani,Azərbaycan
turkish,Türk
arabic,Ərəb
currency,Pul vahidi
date_format,Tarix formatı
time_format,Vaxt formatı
timezone,Saat qurşağı
tax_inclusive,Vergi daxildir
tax_exclusive,Vergi xaricdir
round_off,Yuvarlaqlaşdırma
allow_discount,Endirimə icazə ver
allow_credit,Kreditə icazə ver
allow_return,Qaytarmağa icazə ver
allow_partial,Qismən ödənişə icazə ver
minimum_amount,Minimum məbləğ
maximum_amount,Maksimum məbləğ
hold,Askıya al
hold_order,Sifarişi askıya al
hold_note,Askı qeydi
retrieve,Bərpa et
retrieve_order,Sifarişi bərpa et
split,Böl
split_order,Sifarişi böl
merge,Birləşdir
merge_order,Sifarişləri birləşdir
transfer,Köçür
transfer_order,Sifarişi köçür
transfer_table,Masanı köçür
from_table,From masa
to_table,To masa
select_table,Masa seç
select_customer,Müştəri seç
select_item,Məhsul seç
select_payment,Ödəniş üsulu seç
apply_tender,Təklif tətbiq et
tender_amount,Təklif məbləği
tendered,Ödənilən
select,Seç
